Tanggal;Jam;Jenis;Kategori;Jumlah;Keterangan
01/05/2023;06:00;Pengeluaran;Makan Pagi;10193;Makan rutin
01/05/2023;17:00;Pengeluaran;Makan Siang;10779;Makan rutin
01/05/2023;12:00;Pengeluaran;Makan Siang;14171;Makan rutin
01/05/2023;06:30;Pengeluaran;Makan Pagi;17729;Makan rutin
01/05/2023;07:00;Pengeluaran;Transportasi Umum;21757;Transportasi alternatif
01/05/2023;16:15;Pengeluaran;Makan Malam;8060;Makan rutin
02/05/2023;16:15;Pengeluaran;Makan Siang;10661;Makan rutin
02/05/2023;14:15;Pengeluaran;Makan Malam;9125;Makan rutin
02/05/2023;20:30;Pengeluaran;Makan Pagi;12334;Makan rutin
02/05/2023;11:00;Pengeluaran;Makan Pagi;9763;Makan rutin
03/05/2023;11:15;Pengeluaran;Transportasi Umum;29128;Transportasi alternatif
03/05/2023;19:00;Pengeluaran;Bensin;44501;Pengisian bensin mingguan
03/05/2023;10:30;Pengeluaran;Makan Siang;15527;Makan rutin
03/05/2023;19:15;Pengeluaran;Makan Siang;10664;Makan rutin
03/05/2023;14:00;Pengeluaran;Makan Malam;9226;Makan rutin
04/05/2023;18:00;Pengeluaran;Makan Siang;10109;Makan rutin
04/05/2023;15:00;Pengeluaran;Makan Malam;22146;Makan rutin
04/05/2023;18:00;Pengeluaran;Makan Malam;25713;Makan rutin
04/05/2023;07:15;Pengeluaran;Makan Siang;12577;Makan rutin
04/05/2023;18:30;Pengeluaran;Makan Pagi;15100;Makan rutin
04/05/2023;08:00;Pengeluaran;Makan Pagi;22513;Makan rutin
05/05/2023;07:00;Pengeluaran;Transportasi Umum;12120;Transportasi alternatif
05/05/2023;07:00;Pengeluaran;Makan Pagi;11859;Makan rutin
05/05/2023;19:15;Pengeluaran;Makan Siang;16893;Makan rutin
06/05/2023;15:30;Pengeluaran;Makan Pagi;11993;Makan rutin
06/05/2023;10:00;Pengeluaran;Makan Malam;11869;Makan rutin
06/05/2023;11:30;Pengeluaran;Makan Siang;9474;Makan rutin
06/05/2023;19:45;Pengeluaran;Makan Pagi;6928;Makan rutin
06/05/2023;20:15;Pengeluaran;Makan Malam;17993;Makan rutin
06/05/2023;19:30;Pengeluaran;Makan Siang;14795;Makan rutin
07/05/2023;18:00;Pengeluaran;Makan Siang;16307;Makan rutin
07/05/2023;15:30;Pengeluaran;Makan Pagi;7611;Makan rutin
07/05/2023;15:30;Pengeluaran;Makan Siang;12345;Makan rutin
07/05/2023;08:15;Pengeluaran;Makan Siang;15607;Makan rutin
08/05/2023;07:00;Pengeluaran;Makan Malam;18069;Makan rutin
08/05/2023;13:15;Pengeluaran;Makan Siang;17308;Makan rutin
08/05/2023;20:30;Pengeluaran;Makan Siang;12345;Makan rutin
08/05/2023;18:30;Pengeluaran;Makan Siang;19394;Makan rutin
08/05/2023;20:15;Pengeluaran;Makan Malam;10552;Makan rutin
08/05/2023;10:30;Pengeluaran;Makan Pagi;15384;Makan rutin
09/05/2023;17:00;Pengeluaran;Makan Pagi;12890;Makan rutin
09/05/2023;07:15;Pengeluaran;Makan Siang;9524;Makan rutin
09/05/2023;09:15;Pengeluaran;Makan Pagi;26388;Makan rutin
09/05/2023;17:00;Pengeluaran;Makan Pagi;21487;Makan rutin
09/05/2023;18:30;Pengeluaran;Makan Pagi;22885;Makan rutin
09/05/2023;12:00;Pengeluaran;Makan Pagi;16044;Makan rutin
10/05/2023;20:00;Pengeluaran;Makan Pagi;10651;Makan rutin
10/05/2023;13:15;Pengeluaran;Listrik Kos;88973;Tagihan listrik kos
10/05/2023;17:30;Pengeluaran;Makan Siang;20420;Makan rutin
10/05/2023;11:15;Pengeluaran;Transportasi Umum;9675;Transportasi alternatif
10/05/2023;20:00;Pengeluaran;Makan Malam;8734;Makan rutin
11/05/2023;10:00;Pengeluaran;Makan Malam;14489;Makan rutin
11/05/2023;14:30;Pengeluaran;Makan Malam;19605;Makan rutin
11/05/2023;18:15;Pengeluaran;Makan Malam;15072;Makan rutin
11/05/2023;11:45;Pengeluaran;Makan Siang;7315;Makan rutin
11/05/2023;13:30;Pengeluaran;Makan Pagi;17475;Makan rutin
12/05/2023;18:00;Pengeluaran;Belanja Bulanan;138374;Belanja kebutuhan bulanan
12/05/2023;11:15;Pengeluaran;Makan Siang;4415;Makan rutin
12/05/2023;15:00;Pengeluaran;Makan Siang;16752;Makan rutin
13/05/2023;10:15;Pengeluaran;Makan Pagi;8562;Makan rutin
13/05/2023;07:30;Pengeluaran;Bensin;34572;Pengisian bensin mingguan
13/05/2023;10:30;Pengeluaran;Makan Pagi;15687;Makan rutin
13/05/2023;06:15;Pengeluaran;Makan Pagi;14705;Makan rutin
13/05/2023;08:45;Pengeluaran;Makan Malam;22122;Makan rutin
14/05/2023;14:45;Pengeluaran;Makan Pagi;22323;Makan rutin
14/05/2023;12:30;Pengeluaran;Makan Malam;18477;Makan rutin
14/05/2023;17:30;Pengeluaran;Makan Pagi;17012;Makan rutin
14/05/2023;13:15;Pengeluaran;Makan Malam;10454;Makan rutin
14/05/2023;06:00;Pengeluaran;Makan Pagi;13223;Makan rutin
14/05/2023;17:15;Pengeluaran;Makan Malam;4702;Makan rutin
15/05/2023;06:00;Pengeluaran;Makan Siang;12167;Makan rutin
15/05/2023;14:00;Pengeluaran;Makan Siang;14938;Makan rutin
15/05/2023;19:45;Pengeluaran;Makan Siang;13860;Makan rutin
15/05/2023;12:00;Pengeluaran;Makan Siang;16557;Makan rutin
16/05/2023;12:45;Pengeluaran;Makan Siang;20883;Makan rutin
16/05/2023;08:00;Pengeluaran;Makan Pagi;7306;Makan rutin
16/05/2023;11:15;Pengeluaran;Makan Malam;16252;Makan rutin
17/05/2023;06:45;Pengeluaran;Makan Siang;21699;Makan rutin
17/05/2023;08:00;Pengeluaran;Makan Malam;17139;Makan rutin
17/05/2023;20:30;Pengeluaran;Makan Malam;15798;Makan rutin
17/05/2023;16:00;Pengeluaran;Makan Malam;14780;Makan rutin
18/05/2023;15:45;Pengeluaran;Listrik Kos;140614;Tagihan listrik kos
18/05/2023;14:15;Pengeluaran;Makan Siang;18567;Makan rutin
18/05/2023;13:00;Pengeluaran;Makan Pagi;11475;Makan rutin
18/05/2023;07:00;Pengeluaran;Makan Siang;11677;Makan rutin
18/05/2023;16:30;Pengeluaran;Makan Malam;26079;Makan rutin
19/05/2023;15:00;Pengeluaran;Makan Malam;21511;Makan rutin
19/05/2023;19:15;Pengeluaran;Transportasi Umum;10680;Transportasi alternatif
19/05/2023;06:45;Pengeluaran;Makan Pagi;12666;Makan rutin
19/05/2023;08:30;Pengeluaran;Makan Malam;10599;Makan rutin
19/05/2023;20:45;Pengeluaran;Makan Pagi;20374;Makan rutin
20/05/2023;17:00;Pengeluaran;Makan Malam;16215;Makan rutin
20/05/2023;15:15;Pengeluaran;Makan Siang;22753;Makan rutin
20/05/2023;16:15;Pengeluaran;Makan Malam;16254;Makan rutin
20/05/2023;14:45;Pengeluaran;Makan Pagi;11251;Makan rutin
21/05/2023;18:15;Pengeluaran;Makan Pagi;16725;Makan rutin
21/05/2023;07:30;Pengeluaran;Makan Siang;14939;Makan rutin
21/05/2023;12:30;Pengeluaran;Makan Malam;10214;Makan rutin
21/05/2023;16:45;Pengeluaran;Makan Siang;15679;Makan rutin
21/05/2023;11:15;Pengeluaran;Makan Malam;24739;Makan rutin
22/05/2023;06:45;Pengeluaran;Makan Siang;22656;Makan rutin
22/05/2023;14:00;Pengeluaran;Makan Malam;15583;Makan rutin
22/05/2023;19:15;Pengeluaran;Makan Siang;16076;Makan rutin
23/05/2023;18:15;Pengeluaran;Makan Siang;16252;Makan rutin
23/05/2023;08:45;Pengeluaran;Makan Malam;11865;Makan rutin
23/05/2023;07:00;Pengeluaran;Makan Malam;18220;Makan rutin
23/05/2023;17:45;Pengeluaran;Makan Malam;18097;Makan rutin
23/05/2023;16:15;Pengeluaran;Makan Malam;15795;Makan rutin
23/05/2023;12:30;Pengeluaran;Makan Siang;28498;Makan rutin
24/05/2023;10:45;Pengeluaran;Makan Pagi;11451;Makan rutin
24/05/2023;20:45;Pengeluaran;Makan Pagi;11025;Makan rutin
24/05/2023;19:30;Pengeluaran;Makan Pagi;16431;Makan rutin
24/05/2023;09:00;Pengeluaran;Makan Malam;8774;Makan rutin
24/05/2023;14:15;Pengeluaran;Makan Pagi;12979;Makan rutin
24/05/2023;07:15;Pengeluaran;Makan Malam;1818;Makan rutin
25/05/2023;18:00;Pengeluaran;Makan Pagi;17261;Makan rutin
25/05/2023;15:15;Pengeluaran;Makan Malam;18599;Makan rutin
25/05/2023;13:45;Pengeluaran;Makan Siang;13193;Makan rutin
25/05/2023;17:30;Pengeluaran;Makan Siang;13593;Makan rutin
26/05/2023;18:00;Pengeluaran;Makan Malam;18288;Makan rutin
26/05/2023;07:30;Pengeluaran;Makan Pagi;8868;Makan rutin
26/05/2023;07:00;Pengeluaran;Makan Pagi;7191;Makan rutin
27/05/2023;06:30;Pengeluaran;Bensin;32854;Pengisian bensin mingguan
27/05/2023;18:15;Pengeluaran;Makan Pagi;17854;Makan rutin
27/05/2023;07:00;Pengeluaran;Makan Pagi;5059;Makan rutin
28/05/2023;19:45;Pengeluaran;Makan Malam;16277;Makan rutin
28/05/2023;15:00;Pengeluaran;Makan Malam;13584;Makan rutin
28/05/2023;09:00;Pengeluaran;Makan Pagi;15479;Makan rutin
28/05/2023;06:30;Pengeluaran;Makan Pagi;7781;Makan rutin
29/05/2023;10:00;Pengeluaran;Makan Pagi;19878;Makan rutin
29/05/2023;19:45;Pengeluaran;Makan Siang;11081;Makan rutin
29/05/2023;14:45;Pengeluaran;Rekreasi;191136;Jalan-jalan weekend
29/05/2023;11:00;Pengeluaran;Makan Malam;30158;Makan rutin
29/05/2023;18:30;Pengeluaran;Makan Siang;10115;Makan rutin
30/05/2023;12:15;Pengeluaran;Makan Siang;24135;Makan rutin
30/05/2023;08:15;Pengeluaran;Makan Pagi;18024;Makan rutin
30/05/2023;06:45;Pengeluaran;Makan Malam;21952;Makan rutin
30/05/2023;08:00;Pengeluaran;Listrik Kos;142273;Tagihan listrik kos
